parmseq,zOutcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, zssc5d ,1294,zLE8_TOTALSCOREinv,,0.3,0.00571479,28451,53.199538,0.00E+00,0.29,0.32,0.05,0.00003418,1,0.00E+00,1,1,395
1, zwfikkn2 ,1452,zLE8_TOTALSCOREinv,,-0.22,0.00584369,28357,-38.251014,0.00E+00,-0.23,-0.21,0.05,0.00003418,1,0.00E+00,1,1,356
1, zadm ,31,zLE8_TOTALSCOREinv,,0.32,0.00547657,28543,57.862219,0.00E+00,0.31,0.33,0.05,0.00003418,1,0.00E+00,1,1,457
1, zcpm ,345,zLE8_TOTALSCOREinv,,0.33,0.0055906,28413,59.887229,0.00E+00,0.32,0.35,0.05,0.00003418,1,0.00E+00,1,1,460
1, zsord ,1273,zLE8_TOTALSCOREinv,,0.23,0.00586948,28425,38.485462,0.00E+00,0.21,0.24,0.05,0.00003418,1,0.00E+00,1,1,356
1, zlpl ,843,zLE8_TOTALSCOREinv,,-0.2,0.00520011,28318,-39.177408,0.00E+00,-0.21,-0.19,0.05,0.00003418,1,0.00E+00,1,1,358
1, zcd99l2 ,248,zLE8_TOTALSCOREinv,,0.26,0.00576364,28335,45.350865,0.00E+00,0.25,0.27,0.05,0.00003418,1,0.00E+00,1,1,382
1, ztnfrsf1a ,1377,zLE8_TOTALSCOREinv,,0.22,0.00568625,28335,38.50729,0.00E+00,0.21,0.23,0.05,0.00003418,1,0.00E+00,1,1,322
1, zcst3 ,369,zLE8_TOTALSCOREinv,,0.24,0.005592,28406,42.445213,0.00E+00,0.23,0.25,0.05,0.00003418,1,0.00E+00,1,1,330
1, zacvrl1 ,12,zLE8_TOTALSCOREinv,,0.22,0.00570034,28057,38.819973,0.00E+00,0.21,0.23,0.05,0.00003418,1,0.00E+00,1,1,320
1, zca14 ,148,zLE8_TOTALSCOREinv,,-0.22,0.00565158,28543,-39.053431,0.00E+00,-0.23,-0.21,0.05,0.00003418,1,0.00E+00,1,1,322
1, zccl16 ,176,zLE8_TOTALSCOREinv,,0.22,0.0056913,28672,39.522892,0.00E+00,0.21,0.24,0.05,0.00003418,1,0.00E+00,1,1,322
1, zlamp2 ,812,zLE8_TOTALSCOREinv,,0.24,0.00573591,27412,41.281949,0.00E+00,0.23,0.25,0.05,0.00003418,1,0.00E+00,1,1,325
1, zvwa1 ,1442,zLE8_TOTALSCOREinv,,0.26,0.00585134,28499,43.628354,0.00E+00,0.24,0.27,0.05,0.00003418,1,0.00E+00,1,1,328
1, zggh ,593,zLE8_TOTALSCOREinv,,0.25,0.00583941,27849,42.916941,0.00E+00,0.24,0.26,0.05,0.00003418,1,0.00E+00,1,1,327
1, zsele ,1204,zLE8_TOTALSCOREinv,,0.26,0.00575274,28672,45.741588,0.00E+00,0.25,0.27,0.05,0.00003418,1,0.00E+00,1,1,385
1, zrtn4r ,1179,zLE8_TOTALSCOREinv,,0.24,0.00567865,28543,42.64912,0.00E+00,0.23,0.25,0.05,0.00003418,1,0.00E+00,1,1,325
1, zicam1 ,669,zLE8_TOTALSCOREinv,,0.23,0.00582744,28219,39.029628,0.00E+00,0.22,0.24,0.05,0.00003418,1,0.00E+00,1,1,310
1, zinhbc ,750,zLE8_TOTALSCOREinv,,0.33,0.00566435,28335,57.578022,0.00E+00,0.32,0.34,0.05,0.00003418,1,0.00E+00,1,1,410
1, zgfra1 ,589,zLE8_TOTALSCOREinv,,0.24,0.00567078,28499,41.991262,0.00E+00,0.23,0.25,0.05,0.00003418,1,0.00E+00,1,1,320
1, zsncg ,1268,zLE8_TOTALSCOREinv,,0.23,0.00576842,28096,40.010871,0.00E+00,0.22,0.24,0.05,0.00003418,1,0.00E+00,1,1,313
1, zhgf ,645,zLE8_TOTALSCOREinv,,0.36,0.00543874,28635,66.511928,0.00E+00,0.35,0.37,0.05,0.00003418,1,0.00E+00,1,1,470
1, zces2 ,280,zLE8_TOTALSCOREinv,,0.24,0.00587792,28196,40.508846,0.00E+00,0.23,0.25,0.05,0.00003418,1,0.00E+00,1,1,315
